Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C15, C16, C25, C26, C27, C28, C30",0603,12,100n,C14663
"C12, C29",0603,2,220p,C1603
"C17, C18, C2, C3",0603,4,12p,C38523
"C19, C4",0603,2,1u,C15849
"C20, C21, C22, C23, C24, C5, C6, C7, C8, C9",0603,10,4u7,C19666
"D1, D5",D_SOD-323,2,BSD3C051V,C151996
"F1, F2",0603,2,750 mA,C914092
"J1, J4",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,HRO_TYPE-C-31-M-14,C165948
"J3, J6",Molex_Pico-EZmate_78171-0002_1x02-1MP_P1.20mm_Vertical,2,Battery,C505023
"L1, L2, L4, L5",0603,4,BLM18PG121SN1D,C14709
"L3, L6",0603,2,10 uH,C92982
"LED1, LED2",0603,2,orange,C401116
"Q1, Q2",SOT-23,2,2N7002,C389059
"R1, R11, R12, R2, R25, R29, R41, R42",0603,8,5k1,C23186
"R10, R16, R17, R18, R19, R20, R21, R23, R40, R46, R47, R48, R49, R50, R51, R53",0603,16,100k,C25803
"R13, R14, R15, R38, R43, R44, R45, R8",0603,8,100,C22775
"R22, R26, R27, R28, R30, R31, R32, R52",0603,8,1k,C21190
"R3, R33",0603,2,47k,C25819
"R34, R37, R4, R7",0603,4,1k5,C22843
"R35, R5",0603,2,3k9,C23018
"R36, R39, R6, R9",0603,4,10k,C25804
"SW1, SW19",Panasonic_EVQPUL_EVQPUC,2,RST,C79174
"SW18, SW36",RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm,2,RotaryEncoder_Switch,C470767
"SW2, SW20",SW_SPDT_PCM12,2,PWR,C221841
"U1, U7",SOT-23-6,2,SRV05-4,C2836319
"U10, U4",TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,2,MAX17048,C2682616
"U11, U5",TSSOP-16_4.4x5mm_P0.65mm,2,74HC4051,C352826
"U12, U6",SOT-23-6,2,OPA320SxDBV,C2057613
"U2, U8",nRF52840_E73-2G4M08S1C,2,nRF52840_E73-2G4M08S1C,C356849
"U3, U9",VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,2,BQ24075,C15464
"Y1, Y2",Crystal_SMD_2012-2Pin_2.0x1.2mm,2,32.768 KHz,C55208
