Designator,Mid X,Mid Y,Rotation,Layer
C1,112.266414,-58.457278,225.0,top
C10,137.891779,-94.764305,270.0,top
C11,109.224984,-110.466027,90.0,top
C12,109.224979,-107.341032,270.0,top
C13,114.991778,-110.267806,0.0,top
C14,52.906361,-65.812402,0.0,top
C15,52.906362,-60.812404,180.0,top
C16,172.352589,-58.443078,315.0,top
C17,165.124506,-111.500027,0.0,top
C18,166.024501,-109.250027,270.0,top
C19,164.442723,-105.54634,270.0,top
C2,117.154503,-100.914221,180.0,top
C20,159.734502,-97.355234,0.0,top
C21,165.924502,-102.317648,270.0,top
C22,152.936637,-88.062021,0.0,top
C23,148.661636,-84.362031,180.0,top
C24,148.936627,-91.044403,270.0,top
C25,146.694492,-94.764305,270.0,top
C26,231.712638,-60.798201,180.0,top
C27,231.712642,-65.798205,0.0,top
C28,180.632503,-105.818414,180.0,top
C29,173.067719,-112.018412,180.0,top
C3,117.154503,-102.414221,180.0,top
C30,169.642722,-107.518414,180.0,top
C4,120.241784,-105.420525,90.0,top
C5,126.307502,-114.717833,270.0,top
C6,120.241782,-108.649226,270.0,top
C7,131.699495,-86.564314,180.0,top
C8,135.1995,-90.264308,0.0,top
C9,135.699504,-83.581932,90.0,top
D1,111.631697,-55.415038,315.0,top
D5,172.98731,-55.400845,225.0,top
F1,124.128127,-62.876697,315.0,top
F2,160.490879,-62.862496,225.0,top
J1,119.17626454607705,-57.876042453922956,135.0,top
J3,46.801841,-114.500868,0.0,top
J4,165.44274445392293,-57.86184545392295,225.0,top
J6,237.817166,-114.48667,0.0,top
L1,122.9968,-64.008019,135.0,top
L2,112.902811,-54.143924,135.0,top
L3,119.491785,-110.899223,180.0,top
L4,171.716197,-54.129726,45.0,top
L5,161.622201,-63.993828,45.0,top
L6,164.424502,-102.317646,270.0,top
LED1,125.2595,-61.745325,135.0,top
LED2,159.359501,-61.731123,45.0,top
Q1,134.199503,-80.162487,180.0,top
Q2,148.661638,-79.987203,270.0,top
R1,114.034174,-53.01256,315.0,top
R10,135.199499,-91.764321,180.0,top
R11,131.649501,-95.57431,180.0,top
R12,131.649499,-94.074308,180.0,top
R13,120.084614,-98.167153,270.0,top
R14,118.584615,-98.167154,90.0,top
R15,117.084614,-98.167151,90.0,top
R16,58.059505,-104.39422,90.0,top
R17,120.836783,-126.420615,90.0,top
R18,113.284616,-98.956971,0.0,top
R19,80.559505,-103.14422,90.0,top
R2,115.094843,-51.951895,315.0,top
R20,113.284616,-97.493337,0.0,top
R21,89.059505,-101.04422,270.0,top
R22,111.74178,-111.59281,0.0,top
R23,114.241778,-108.017805,90.0,top
R25,169.507088,-51.954764,225.0,top
R26,97.826932,-56.417043,0.0,top
R27,102.826932,-56.417043,0.0,top
R28,107.826932,-56.417043,0.0,top
R29,170.567759,-53.015436,225.0,top
R3,131.699497,-88.626806,180.0,top
R30,176.792074,-56.402843,180.0,top
R31,181.792078,-56.40285,180.0,top
R32,186.792071,-56.402848,180.0,top
R33,152.936636,-85.999522,0.0,top
R34,150.436629,-91.044398,270.0,top
R35,152.936635,-84.397735,0.0,top
R36,152.93664,-82.797737,0.0,top
R37,147.436635,-91.044406,90.0,top
R38,152.936631,-90.269403,0.0,top
R39,152.936626,-91.769402,180.0,top
R4,134.199506,-83.581933,90.0,top
R40,148.661637,-82.86202,0.0,top
R41,152.944489,-93.954301,0.0,top
R42,152.944493,-95.454297,0.0,top
R43,164.524505,-98.180234,270.0,top
R44,166.0245,-98.180234,90.0,top
R45,167.524505,-98.180238,90.0,top
R46,226.559501,-104.380021,90.0,top
R47,163.782223,-126.406412,90.0,top
R48,171.3245,-98.980229,180.0,top
R49,204.059501,-103.130021,90.0,top
R5,131.699495,-90.228595,180.0,top
R50,171.324509,-97.50641,180.0,top
R51,195.559501,-101.030021,270.0,top
R52,172.877219,-106.418418,180.0,top
R53,170.377228,-109.818416,270.0,top
R6,131.699497,-91.828597,180.0,top
R7,137.199499,-83.581931,270.0,top
R8,131.699497,-84.356937,180.0,top
R9,131.699504,-82.856927,0.0,top
SW1,106.392535,-48.038164,5.0,top
SW18,42.381366,-63.312395,180.0,top
SW19,178.226472,-48.023963,355.0,top
SW2,97.728258,-48.826304,185.0,top
SW20,186.890751,-48.812104,175.0,top
SW36,242.237637,-63.298199,0.0,top
U1,114.72361,-62.328689,225.0,top
U10,149.444491,-94.764305,0.0,top
U11,178.442718,-109.392815,270.0,top
U12,172.877223,-109.232098,0.0,top
U2,128.831,-105.469226,90.0,top
U3,135.449499,-87.31431,90.0,top
U4,135.149502,-94.764305,180.0,top
U5,105.649983,-108.916027,180.0,top
U6,111.741785,-108.755316,180.0,top
U7,169.895393,-62.314491,315.0,top
U8,155.78800900000002,-105.455024,270.0,top
U9,149.186631,-87.312029,270.0,top
Y1,119.694502,-101.664219,90.0,top
Y2,164.324501,-109.25003,270.0,top
